goodput_req_s_mean,n,per_gpu_goodput_req_s_mean,policy,rate,slo_attainment_completed_mean,slo_attainment_submitted_mean,slo_label,slo_tpot_s,slo_ttft_s
0.4054063379189975,1,0.20270316895949875,fcfs,10.0,0.6041666666666666,0.6041666666666666,loose,0.3,2.0
0.5033090184438016,1,0.2516545092219008,phase,10.0,0.6666666666666666,0.6666666666666666,loose,0.3,2.0
0.4051076284188212,1,0.2025538142094106,fcfs,12.0,0.6041666666666666,0.6041666666666666,loose,0.3,2.0
0.4726351037812981,1,0.23631755189064904,phase,12.0,0.625,0.625,loose,0.3,2.0
0.40520057190481995,1,0.20260028595240998,fcfs,16.0,0.6041666666666666,0.6041666666666666,loose,0.3,2.0
0.4156167153515451,1,0.20780835767577255,phase,16.0,0.6041666666666666,0.6041666666666666,loose,0.3,2.0
0.39880922241893985,1,0.19940461120946992,fcfs,2.0,0.6041666666666666,0.6041666666666666,loose,0.3,2.0
0.4277935350072209,1,0.21389676750361045,phase,2.0,0.6666666666666666,0.6666666666666666,loose,0.3,2.0
0.40546164512373756,1,0.20273082256186878,fcfs,20.0,0.6041666666666666,0.6041666666666666,loose,0.3,2.0
0.4148295978826746,1,0.2074147989413373,phase,20.0,0.6041666666666666,0.6041666666666666,loose,0.3,2.0
0.3904408864934978,1,0.1952204432467489,fcfs,24.0,0.5833333333333334,0.5833333333333334,loose,0.3,2.0
0.40775382507842983,1,0.20387691253921492,phase,24.0,0.6041666666666666,0.6041666666666666,loose,0.3,2.0
0.4050307644198954,1,0.2025153822099477,fcfs,4.0,0.6041666666666666,0.6041666666666666,loose,0.3,2.0
0.43798725451577913,1,0.21899362725788957,phase,4.0,0.6458333333333334,0.6458333333333334,loose,0.3,2.0
0.4052346474238681,1,0.20261732371193406,fcfs,6.0,0.6041666666666666,0.6041666666666666,loose,0.3,2.0
0.49462989489471176,1,0.24731494744735588,phase,6.0,0.6666666666666666,0.6666666666666666,loose,0.3,2.0
0.40456341167472487,1,0.20228170583736244,fcfs,8.0,0.6041666666666666,0.6041666666666666,loose,0.3,2.0
0.48896798330458613,1,0.24448399165229306,phase,8.0,0.6458333333333334,0.6458333333333334,loose,0.3,2.0
0.39142680902523896,1,0.19571340451261948,fcfs,10.0,0.5833333333333334,0.5833333333333334,medium,0.2,1.5
0.471852204791064,1,0.235926102395532,phase,10.0,0.625,0.625,medium,0.2,1.5
0.37716917128648875,1,0.18858458564324437,fcfs,12.0,0.5625,0.5625,medium,0.2,1.5
0.42537159340316827,1,0.21268579670158413,phase,12.0,0.5625,0.5625,medium,0.2,1.5
0.3772557048769013,1,0.18862785243845065,fcfs,16.0,0.5625,0.5625,medium,0.2,1.5
0.37262188272897145,1,0.18631094136448573,phase,16.0,0.5416666666666666,0.5416666666666666,medium,0.2,1.5
0.39880922241893985,1,0.19940461120946992,fcfs,2.0,0.6041666666666666,0.6041666666666666,medium,0.2,1.5
0.4010564390692696,1,0.2005282195346348,phase,2.0,0.625,0.625,medium,0.2,1.5
0.3355544649299897,1,0.16777723246499485,fcfs,20.0,0.5,0.5,medium,0.2,1.5
0.37191619120515657,1,0.18595809560257828,phase,20.0,0.5416666666666666,0.5416666666666666,medium,0.2,1.5
0.3346636169944267,1,0.16733180849721335,fcfs,24.0,0.5,0.5,medium,0.2,1.5
0.3655723948979026,1,0.1827861974489513,phase,24.0,0.5416666666666666,0.5416666666666666,medium,0.2,1.5
0.4050307644198954,1,0.2025153822099477,fcfs,4.0,0.6041666666666666,0.6041666666666666,medium,0.2,1.5
0.43798725451577913,1,0.21899362725788957,phase,4.0,0.6458333333333334,0.6458333333333334,medium,0.2,1.5
0.4052346474238681,1,0.20261732371193406,fcfs,6.0,0.6041666666666666,0.6041666666666666,medium,0.2,1.5
0.49462989489471176,1,0.24731494744735588,phase,6.0,0.6666666666666666,0.6666666666666666,medium,0.2,1.5
0.40456341167472487,1,0.20228170583736244,fcfs,8.0,0.6041666666666666,0.6041666666666666,medium,0.2,1.5
0.48896798330458613,1,0.24448399165229306,phase,8.0,0.6458333333333334,0.6458333333333334,medium,0.2,1.5
0.2516315200876536,1,0.1258157600438268,fcfs,10.0,0.375,0.375,tight,0.1,1.0
0.36175335700648237,1,0.18087667850324118,phase,10.0,0.4791666666666667,0.4791666666666667,tight,0.1,1.0
0.2514461141909925,1,0.12572305709549625,fcfs,12.0,0.375,0.375,tight,0.1,1.0
0.33084457264690864,1,0.16542228632345432,phase,12.0,0.4375,0.4375,tight,0.1,1.0
0.25150380325126753,1,0.12575190162563377,fcfs,16.0,0.375,0.375,tight,0.1,1.0
0.3296270501063978,1,0.1648135250531989,phase,16.0,0.4791666666666667,0.4791666666666667,tight,0.1,1.0
0.28879288519992197,1,0.14439644259996098,fcfs,2.0,0.4375,0.4375,tight,0.1,1.0
0.347582247193367,1,0.1737911235966835,phase,2.0,0.5416666666666666,0.5416666666666666,tight,0.1,1.0
0.2376844126587427,1,0.11884220632937136,fcfs,20.0,0.3541666666666667,0.3541666666666667,tight,0.1,1.0
0.3003938467426264,1,0.1501969233713132,phase,20.0,0.4375,0.4375,tight,0.1,1.0
0.23705339537105224,1,0.11852669768552612,fcfs,24.0,0.3541666666666667,0.3541666666666667,tight,0.1,1.0
0.25308858108316334,1,0.12654429054158167,phase,24.0,0.375,0.375,tight,0.1,1.0
0.29329813975233804,1,0.14664906987616902,fcfs,4.0,0.4375,0.4375,tight,0.1,1.0
0.367344148948718,1,0.183672074474359,phase,4.0,0.5416666666666666,0.5416666666666666,tight,0.1,1.0
0.29344577916900794,1,0.14672288958450397,fcfs,6.0,0.4375,0.4375,tight,0.1,1.0
0.417343973817413,1,0.2086719869087065,phase,6.0,0.5625,0.5625,tight,0.1,1.0
0.292959711902387,1,0.1464798559511935,fcfs,8.0,0.4375,0.4375,tight,0.1,1.0
0.3785558580422602,1,0.1892779290211301,phase,8.0,0.5,0.5,tight,0.1,1.0
