global_rate,per_gpu_rate,policy,label,n,slo_attainment_completed_mean,slo_attainment_completed_std,slo_attainment_submitted_mean,slo_attainment_submitted_std,goodput_req_s_mean,goodput_req_s_std,throughput_req_s_mean,throughput_req_s_std,throughput_completed_req_s_mean,throughput_completed_req_s_std,ttft_p50_mean,ttft_p50_std,ttft_p90_mean,ttft_p90_std,ttft_p95_mean,ttft_p95_std,ttft_p99_mean,ttft_p99_std,tpot_p50_mean,tpot_p50_std,tpot_p90_mean,tpot_p90_std,tpot_p95_mean,tpot_p95_std,tpot_p99_mean,tpot_p99_std
1.5,0.75,fcfs,DistServe,2,0.734375,0.03314563036811941,0.734375,0.03314563036811941,0.9591087589735383,0.06362620509340014,1.3053948371897421,0.027721627690835873,1.3053948371897421,0.027721627690835873,0.07549108285456896,7.308263531789025e-05,0.20110197914764286,0.011769224140819831,0.226749777328223,0.0005853596665571783,0.26877683367580185,0.00786368660795028,0.03473115213368895,0.0029140964597502922,0.4083923059737397,0.18594186565539195,0.7125983009246251,0.2480054963910504,1.6972259887103012,0.9299774512352837
1.5,0.75,phase,PhaseServe,2,0.94921875,0.005524271728019903,0.94921875,0.005524271728019903,1.1337058525167656,0.09970088850707114,1.1946826558392747,0.11198750564786014,1.1946826558392747,0.11198750564786014,0.07622037595137954,0.0008412952187594798,0.1966325117275119,0.021148346600702424,0.22452795328572395,0.0037106055135943386,0.26604800785891725,0.023117510385840874,0.030055345922741297,0.0006896186240812012,0.04978334403253188,0.01287882772502431,0.06972506775029215,0.02108092510446645,0.15362212514039136,0.03824643335123462
1.5,0.75,bps_kas,w/o PBC,2,0.7734375,0.05524271728019903,0.7734375,0.05524271728019903,0.9757402573983593,0.05519680000377724,1.2622341777351913,0.018789424896326394,1.2622341777351913,0.018789424896326394,0.07750161364674568,0.0012775961018217149,0.2011709184385836,0.019245625412462393,0.22840114547871057,0.00849262468024071,0.26530269809998575,0.02209121320873314,0.036850052679200766,0.002309838945040453,0.33416276689718605,0.1269515659175315,0.5884771091062718,0.22350258172472864,1.1668811152987186,0.3741032814637208
1.5,0.75,kas_pbc,w/o BPS,2,0.7734375,0.05524271728019903,0.7734375,0.05524271728019903,0.9683725857493339,0.0440511206828716,1.2531998920905458,0.03255472698370889,1.2531998920905458,0.03255472698370889,0.07566845370456576,0.0008262553792861704,0.1999053810723126,0.019341965469041992,0.22994785476475954,0.002984654892243705,0.27031118298880763,0.01580220329907046,0.03696617468387792,0.002280412887165539,0.3246022883436775,0.12614965932533706,0.5788224693644921,0.23197291213653126,1.145771646695833,0.36058168269228263
1.5,0.75,bps_pbc,w/o KAS,2,0.73046875,0.04971844555217912,0.73046875,0.04971844555217912,0.9544380402738508,0.08526710547063888,1.3056622022090065,0.027861028087200205,1.3056622022090065,0.027861028087200205,0.07671194011345506,0.0007683772195685851,0.1991716089658439,0.020764674223957922,0.22541305469349027,0.001930995138145758,0.26583160434849573,0.019247062791218225,0.03502416898776076,0.002761087655915725,0.4255164977163075,0.2098060131386297,0.7382093590305061,0.2866768530772416,1.7804854041161038,1.0166211647118129
2.0,1.0,fcfs,DistServe,2,0.4765625,0.03314563036811941,0.4765625,0.03314563036811941,0.6802055214472751,0.059050509264715834,1.4264576469545855,0.024697015319043714,1.4264576469545855,0.024697015319043714,0.10267755249515176,0.005587010604750908,3.520976383704692,4.510220049982877,4.794374522427101,4.640147718879574,7.061200598515571,4.278736925049065,0.08838011274841162,0.024962053037416634,1.244242678341371,0.0522281557206245,2.1447493236906094,0.20067207478086388,5.208298004167157,2.0882062382044433
2.0,1.0,phase,PhaseServe,2,0.7265625,0.06629126073623882,0.7265625,0.06629126073623882,0.8738708097124136,0.21334907609637585,1.1943222099794997,0.18467227674363032,1.1943222099794997,0.18467227674363032,0.0762400976382196,6.836943227425793e-05,0.19956329334527254,0.006988975602792085,0.22919670138508086,0.0027678004004498113,0.2925600078701974,0.03049786358636769,0.04131697430123802,0.006260028857248662,0.2858315830607898,0.03262150609154699,0.42791659647482466,0.07402057995274394,0.9192488923956026,0.02811572868822582
2.0,1.0,bps_kas,w/o PBC,2,0.45703125,0.005524271728019903,0.45703125,0.005524271728019903,0.581329749517846,0.04812472791850468,1.2726987261726133,0.12068203544021769,1.2726987261726133,0.12068203544021769,0.11763537488877773,0.019290345194365958,3.9919220346026116,3.0583926295939854,5.904653486469762,4.578425774085203,8.628491187170148,1.7444714657774272,0.08161830102128387,0.011139997881942313,1.2642662025480107,0.017599127488533407,2.2203783298285495,0.120551034172975,4.043225698021707,1.877022488094736
2.0,1.0,kas_pbc,w/o BPS,2,0.46484375,0.016572815184059706,0.46484375,0.016572815184059706,0.6063545604419638,0.10121384540197643,1.3013722682336701,0.17134024780343768,1.3013722682336701,0.17134024780343768,0.11163465864956379,0.009188394931189529,3.894023311510681,2.9974703345856515,5.66255306461826,3.8878787452597123,8.017214217483998,2.167488155939359,0.07931672002879105,0.01356336547776298,1.22574049632065,0.06313180143418187,2.137362451054867,0.13346474639834574,4.371007896349768,1.332659272045531
2.0,1.0,bps_pbc,w/o KAS,2,0.46875,0.02209708691207961,0.46875,0.02209708691207961,0.6520684192137116,0.029813429751201964,1.3911258766141112,0.0019763192532971344,1.3911258766141112,0.0019763192532971344,0.10794985853135586,0.00904662610368904,3.7687174480408423,4.312945783480541,4.930697932234036,4.078952370372572,7.554881638567895,3.7528739923782957,0.0878496231083247,0.023776052002937212,1.2871614285137953,0.05308457955863929,2.2128281139500903,0.261838453250591,5.23098412898835,2.1011799191308413
2.5,1.25,fcfs,DistServe,2,0.26171875,0.04971844555217912,0.26171875,0.04971844555217912,0.37749834332957066,0.08139391072772405,1.4388037068355972,0.03766954782240451,1.4388037068355972,0.03766954782240451,1.5905740256421268,0.3796476576178017,13.779723551589996,2.1209721875418848,14.400159825710581,2.54836296914045,17.350763654774056,1.2041559876690302,0.1078164481660201,0.013832185379803968,1.5652709430150153,0.0594543123815739,2.6853758310566547,0.37157797583561925,6.791252912217756,2.1298708416054
2.5,1.25,phase,PhaseServe,2,0.5625,0.06629126073623882,0.5625,0.06629126073623882,0.6785539043809978,0.18235298937126676,1.195517585785423,0.18328999355947825,1.195517585785423,0.18328999355947825,0.09352903394028544,0.018764415086678258,1.5467551308684044,1.673175002651488,2.8140655676368627,1.1568061907884786,4.784284662241124,3.139575058599832,0.0655983776872487,0.013929490996210506,0.8366692950141925,0.19312556331528163,1.3374039995397045,0.13130043125306504,3.3337226968514786,1.3067622845637727
2.5,1.25,bps_kas,w/o PBC,2,0.2890625,0.05524271728019903,0.2890625,0.05524271728019903,0.38187793989416996,0.12568029455431043,1.3033463650838009,0.18570343711069726,1.3033463650838009,0.18570343711069726,1.4658104563131928,0.27727266821544505,15.920428508054465,1.4296028162110075,17.901681895460936,1.5451640015327637,18.767153925243765,1.6013344776592402,0.09136725213144609,0.013056922518789432,1.568228842858225,0.07622004068877329,2.327292933896083,0.09401748139910243,4.589138851063328,0.44343241433467767
2.5,1.25,kas_pbc,w/o BPS,2,0.28515625,0.07181553246425873,0.28515625,0.07181553246425873,0.3784865156517412,0.14139296160917333,1.3062834930614802,0.1668612103213285,1.3062834930614802,0.1668612103213285,2.7151929568499327,0.16259896038999475,13.901400128006934,0.6810688588349956,15.631530414661393,1.6634887624943897,18.919895668039096,2.366029482107978,0.09398236905271061,0.019114889178268164,1.6534861651466537,0.19524337118526716,2.385027196416078,0.04046591177380954,5.470657706563366,0.7927337888679956
2.5,1.25,bps_pbc,w/o KAS,2,0.265625,0.04419417382415922,0.265625,0.04419417382415922,0.3771666425883975,0.07263199623816113,1.4167838921792042,0.037716339335245354,1.4167838921792042,0.037716339335245354,1.0994431106373668,0.4114053626299546,13.476809945330022,3.27253339710625,15.531750910449773,2.82615593025674,17.557990642357623,1.101894061152232,0.11284392038155404,0.013294486412141523,1.7091599615082318,0.1280444489248111,2.8563211521987517,0.16542524417451795,6.980339923906148,2.3749664179366796
