global_rate,per_gpu_rate,policy,label,slo_attainment_completed_mean,slo_attainment_completed_vs_fcfs_pp,slo_attainment_completed_full_vs_ablation_pp,slo_attainment_submitted_mean,slo_attainment_submitted_vs_fcfs_pp,slo_attainment_submitted_full_vs_ablation_pp,goodput_req_s_mean,goodput_req_s_vs_fcfs_pct,goodput_req_s_full_vs_ablation_pct,throughput_req_s_mean,throughput_req_s_vs_fcfs_pct,throughput_req_s_full_vs_ablation_pct,throughput_completed_req_s_mean,throughput_completed_req_s_vs_fcfs_pct,throughput_completed_req_s_full_vs_ablation_pct,ttft_p50_mean,ttft_p50_vs_fcfs_pct,ttft_p50_full_vs_ablation_pct,ttft_p90_mean,ttft_p90_vs_fcfs_pct,ttft_p90_full_vs_ablation_pct,ttft_p95_mean,ttft_p95_vs_fcfs_pct,ttft_p95_full_vs_ablation_pct,ttft_p99_mean,ttft_p99_vs_fcfs_pct,ttft_p99_full_vs_ablation_pct,tpot_p50_mean,tpot_p50_vs_fcfs_pct,tpot_p50_full_vs_ablation_pct,tpot_p90_mean,tpot_p90_vs_fcfs_pct,tpot_p90_full_vs_ablation_pct,tpot_p95_mean,tpot_p95_vs_fcfs_pct,tpot_p95_full_vs_ablation_pct,tpot_p99_mean,tpot_p99_vs_fcfs_pct,tpot_p99_full_vs_ablation_pct
1.5,0.75,fcfs,DistServe,0.734375,0.0,21.484375,0.734375,0.0,21.484375,0.9591087589735383,0.0,18.204097492560216,1.3053948371897421,0.0,-8.481126031477876,1.3053948371897421,0.0,-8.481126031477876,0.07549108285456896,0.0,-0.9660652215249554,0.20110197914764286,0.0,2.2224880327257335,0.226749777328223,0.0,0.9798572103040819,0.26877683367580185,0.0,1.0152756766887547,0.03473115213368895,0.0,13.462859489801252,0.4083923059737397,0.0,87.80992117032366,0.7125983009246251,0.0,90.21537552646124,1.6972259887103012,0.0,90.94863464486973
1.5,0.75,phase,PhaseServe,0.94921875,21.484375,0.0,0.94921875,21.484375,0.0,1.1337058525167656,18.204097492560216,0.0,1.1946826558392747,-8.481126031477876,0.0,1.1946826558392747,-8.481126031477876,0.0,0.07622037595137954,-0.9660652215249554,0.0,0.1966325117275119,2.2224880327257335,0.0,0.22452795328572395,0.9798572103040819,0.0,0.26604800785891725,1.0152756766887547,0.0,0.030055345922741297,13.462859489801252,0.0,0.04978334403253188,87.80992117032366,0.0,0.06972506775029215,90.21537552646124,0.0,0.15362212514039136,90.94863464486973,0.0
1.5,0.75,bps_kas,w/o PBC,0.7734375,3.90625,17.578125,0.7734375,3.90625,17.578125,0.9757402573983593,1.7340576101734773,16.189307955745708,1.2622341777351913,-3.3063298723830736,-5.351742417332048,1.2622341777351913,-3.3063298723830736,-5.351742417332048,0.07750161364674568,-2.6632692447264845,1.6531755083269077,0.2011709184385836,-0.03428076204566874,2.2559954223489056,0.22840114547871057,-0.7282777385475471,1.6957849247510217,0.26530269809998575,1.292572551102601,-0.2809280735812994,0.036850052679200766,-6.10086454188342,18.438797945856393,0.33416276689718605,18.176037596880374,85.10206732641491,0.5884771091062718,17.41811503862709,88.15160918388403,1.1668811152987186,31.247746436795044,86.83480920838585
1.5,0.75,kas_pbc,w/o BPS,0.7734375,3.90625,17.578125,0.7734375,3.90625,17.578125,0.9683725857493339,0.9658786544406078,17.07331136800982,1.2531998920905458,-3.9984029055578114,-4.669425573733067,1.2531998920905458,-3.9984029055578114,-4.669425573733067,0.07566845370456576,-0.23495602830138784,-0.7293954346796327,0.1999053810723126,0.595020536546663,1.6372092273077887,0.22994785476475954,-1.4103993724797779,2.3570132822418555,0.27031118298880763,-0.5708636760177433,1.5771360558423153,0.03696617468387792,-6.435209927922352,18.69500650320371,0.3246022883436775,20.517041189177068,84.66328001365689,0.5788224693644921,18.77296527181631,87.9539804619462,1.145771646695833,32.491509420823256,86.59225635549583
1.5,0.75,bps_pbc,w/o KAS,0.73046875,-0.390625,21.875,0.73046875,-0.390625,21.875,0.9544380402738508,-0.48698530338584445,18.78255105920533,1.3056622022090065,0.020481544100478553,-8.499866671637522,1.3056622022090065,0.020481544100478553,-8.499866671637522,0.07671194011345506,-1.6172204884622459,0.6407922434871395,0.1991716089658439,0.9598961631211662,1.2748289033340303,0.22541305469349027,0.5895144200286475,0.3926575632320203,0.26583160434849573,1.0957898740851493,-0.08140623871713058,0.03502416898776076,-0.8436715630507093,14.186840712068935,0.4255164977163075,-4.193074034962086,88.30049027482772,0.7382093590305061,-3.5940386151145276,90.55483828573205,1.7804854041161038,-4.905617517032621,91.37189640615702
2.0,1.0,fcfs,DistServe,0.4765625,0.0,25.0,0.4765625,0.0,25.0,0.6802055214472751,0.0,28.47158427251169,1.4264576469545855,0.0,-16.273559714211157,1.4264576469545855,0.0,-16.273559714211157,0.10267755249515176,0.0,25.748037632841402,3.520976383704692,0.0,94.33216041241104,4.794374522427101,0.0,95.21946605729391,7.061200598515571,0.0,95.85679511878334,0.08838011274841162,0.0,53.25082417709343,1.244242678341371,0.0,77.02766606255497,2.1447493236906094,0.0,80.0481766447894,5.208298004167157,0.0,82.35030154457154
2.0,1.0,phase,PhaseServe,0.7265625,25.0,0.0,0.7265625,25.0,0.0,0.8738708097124136,28.47158427251169,0.0,1.1943222099794997,-16.273559714211157,0.0,1.1943222099794997,-16.273559714211157,0.0,0.0762400976382196,25.748037632841402,0.0,0.19956329334527254,94.33216041241104,0.0,0.22919670138508086,95.21946605729391,0.0,0.2925600078701974,95.85679511878334,0.0,0.04131697430123802,53.25082417709343,0.0,0.2858315830607898,77.02766606255497,0.0,0.42791659647482466,80.0481766447894,0.0,0.9192488923956026,82.35030154457154,0.0
2.0,1.0,bps_kas,w/o PBC,0.45703125,-1.953125,26.953125,0.45703125,-1.953125,26.953125,0.581329749517846,-14.53616132357333,50.3227403099877,1.2726987261726133,-10.779073680192312,-6.158292970781488,1.2726987261726133,-10.779073680192312,-6.158292970781488,0.11763537488877773,-14.567762894749809,35.189480451519515,3.9919220346026116,-13.375427710264876,95.00082186937956,5.904653486469762,-23.157952280302748,96.11837168920626,8.628491187170148,-22.19580886831141,96.60937235115672,0.08161830102128387,7.650829487371611,49.37780646712597,1.2642662025480107,-1.6092941156247746,77.3915032700611,2.2203783298285495,-3.5262398874568874,80.72776198874779,4.043225698021707,22.369540015054376,77.26446750560133
2.0,1.0,kas_pbc,w/o BPS,0.46484375,-1.171875,26.171875,0.46484375,-1.171875,26.171875,0.6063545604419638,-10.857154003716172,44.11878242912213,1.3013722682336701,-8.768951464347106,-8.225936641439858,1.3013722682336701,-8.768951464347106,-8.225936641439858,0.11163465864956379,-8.723529083764408,31.705709892885935,3.894023311510681,-10.594985230019558,94.87513870922739,5.66255306461826,-18.108275399220435,95.95241406535884,8.017214217483998,-13.538967001863728,96.35085205491727,0.07931672002879105,10.25501375566356,47.90887181638318,1.22574049632065,1.4870235801094014,76.68090563061423,2.137362451054867,0.3444165970422667,79.97922176167958,4.371007896349768,16.076079117352222,78.96940673195151
2.0,1.0,bps_pbc,w/o KAS,0.46875,-0.78125,25.78125,0.46875,-0.78125,25.78125,0.6520684192137116,-4.136558929086034,34.01520208050554,1.3911258766141112,-2.4768888453089253,-14.14707827257271,1.3911258766141112,-2.4768888453089253,-14.14707827257271,0.10794985853135586,-5.134818573371281,29.374527511701764,3.7687174480408423,-7.036146720060718,94.70474249936103,4.930697932234036,-2.843403433946223,95.35163774915665,7.554881638567895,-6.991460349619693,96.12753684483063,0.0878496231083247,0.6002364373499366,52.96852412184931,1.2871614285137953,-3.4493874000236797,77.79364913142078,2.2128281139500903,-3.1742073307818197,80.66200470894432,5.23098412898835,-0.43557655116972066,82.42684608233783
