combo,combo_title,metric_family,metric,percentile,policy,policy_label,per_gpu_rate,mean,min,max,unit,window_low,window_high
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p90,p90,fcfs,DistServe,1.75,1.8590007479459818,1.81993068576875,1.8980708101232135,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p90,p90,fcfs,DistServe,2.0,1.8924942263643942,1.829125112769278,1.9558633399595104,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p90,p90,fcfs,DistServe,2.25,1.8987593606127686,1.8385031635500484,1.9590155576754889,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p90,p90,fcfs,DistServe,2.5,1.9095838194979087,1.8732047697529195,1.945962869242898,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p90,p90,fcfs,DistServe,2.75,1.9199908811545794,1.8974978888034817,1.942483873505677,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p90,p90,phase,PhaseServe,1.0,0.2858315830607898,0.2627646948909387,0.3088984712306409,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p90,p90,phase,PhaseServe,1.25,0.8366692950141925,0.7001088995734849,0.9732296904549,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p90,p90,phase,PhaseServe,1.5,1.039406695772583,0.9500383520592,1.128775039485966,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p90,p90,phase,PhaseServe,1.75,1.201800355892205,1.091992572862655,1.311608138921755,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p90,p90,phase,PhaseServe,2.0,1.2453548186216947,1.2342133612309891,1.2564962760124,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p90,p90,phase,PhaseServe,2.25,1.3400720451062431,1.2662951219050833,1.413848968307403,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p90,p90,phase,PhaseServe,2.5,1.307791299193373,1.2292906940449029,1.386291904341843,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p90,p90,phase,PhaseServe,2.75,1.2622181782700737,1.1653923017748935,1.359044054765254,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p95,p95,fcfs,DistServe,1.0,2.1447493236906094,2.002852738818287,2.2866459085629325,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p95,p95,fcfs,DistServe,1.25,2.6853758310566547,2.422630524603717,2.948121137509592,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p95,p95,fcfs,DistServe,1.5,2.787445762377856,2.533345727678389,3.041545797077323,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p95,p95,fcfs,DistServe,1.75,2.954419835784166,2.8292002216167784,3.0796394499515536,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p95,p95,fcfs,DistServe,2.0,3.0463012377483185,2.947605131808672,3.144997343687965,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p95,p95,fcfs,DistServe,2.25,3.031096882230295,2.8514955319277977,3.2106982325327915,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p95,p95,fcfs,DistServe,2.5,3.030862942300739,2.792740478068593,3.2689854065328854,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p95,p95,fcfs,DistServe,2.75,3.0217576042003955,2.799813427925113,3.2437017804756776,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p95,p95,phase,PhaseServe,1.0,0.42791659647482466,0.3755761424428784,0.4802570505067709,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p95,p95,phase,PhaseServe,1.25,1.3374039995397045,1.2445605742279442,1.430247424851465,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p95,p95,phase,PhaseServe,1.5,1.7587107097898214,1.646771571808496,1.8706498477711464,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p95,p95,phase,PhaseServe,1.75,1.845463400007696,1.8247051289787397,1.866221671036652,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p95,p95,phase,PhaseServe,2.0,2.0353209189471926,2.0024627133006505,2.068179124593735,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p95,p95,phase,PhaseServe,2.25,2.1867982606240557,1.9799171055550688,2.3936794156930428,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p95,p95,phase,PhaseServe,2.5,2.10740134909167,1.8865857425192385,2.328216955664102,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p95,p95,phase,PhaseServe,2.75,2.1630553053024553,1.9375680409371856,2.3885425696677247,s/token,1.0,2.75
llama13b_sharegpt,LLaMA2-13B + ShareGPT,ttft,ttft_s_median,p50,fcfs,DistServe,1.0,0.13291576458141205,0.1312603252008557,0.1345712039619684,s,1.0,2.25
