combo,combo_title,metric_family,metric,percentile,policy,policy_label,seed,per_gpu_rate,value,unit,window_low,window_high
opt13b_sharegpt,OPT-13B + ShareGPT,ttft,ttft_s_p90,p90,fcfs,DistServe,0,2.25,31.1900267675519,s,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,ttft,ttft_s_p90,p90,fcfs,DistServe,1,2.25,31.71504892744123,s,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,ttft,ttft_s_p90,p90,fcfs,DistServe,0,2.5,33.31410157401115,s,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,ttft,ttft_s_p90,p90,fcfs,DistServe,1,2.5,34.32501907814293,s,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,ttft,ttft_s_p90,p90,fcfs,DistServe,0,2.75,35.212145655788476,s,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,ttft,ttft_s_p90,p90,fcfs,DistServe,1,2.75,36.39539245739578,s,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,ttft,ttft_s_p90,p90,phase,PhaseServe,0,1.0,0.1946213413029909,s,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,ttft,ttft_s_p90,p90,phase,PhaseServe,1,1.0,0.2045052453875541,s,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,ttft,ttft_s_p90,p90,phase,PhaseServe,0,1.25,0.3636417403817176,s,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,ttft,ttft_s_p90,p90,phase,PhaseServe,1,1.25,2.7298685213550913,s,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,ttft,ttft_s_p90,p90,phase,PhaseServe,0,1.5,5.868790913373232,s,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,ttft,ttft_s_p90,p90,phase,PhaseServe,1,1.5,9.869604702480135,s,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,ttft,ttft_s_p90,p90,phase,PhaseServe,0,1.75,9.8055676497519,s,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,ttft,ttft_s_p90,p90,phase,PhaseServe,1,1.75,19.92531934622675,s,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,ttft,ttft_s_p90,p90,phase,PhaseServe,0,2.0,14.65514587368816,s,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,ttft,ttft_s_p90,p90,phase,PhaseServe,1,2.0,26.11615233812481,s,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,ttft,ttft_s_p90,p90,phase,PhaseServe,0,2.25,17.70976184029132,s,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,ttft,ttft_s_p90,p90,phase,PhaseServe,1,2.25,25.863198656775054,s,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,ttft,ttft_s_p90,p90,phase,PhaseServe,0,2.5,19.66375403292477,s,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,ttft,ttft_s_p90,p90,phase,PhaseServe,1,2.5,27.56512879114598,s,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,ttft,ttft_s_p90,p90,phase,PhaseServe,0,2.75,22.361619628407063,s,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,ttft,ttft_s_p90,p90,phase,PhaseServe,1,2.75,32.909231880120934,s,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p90,p90,fcfs,DistServe,0,1.0,1.2811735614202917,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p90,p90,fcfs,DistServe,1,1.0,1.2073117952624504,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p90,p90,fcfs,DistServe,0,1.25,1.6073114904708097,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p90,p90,fcfs,DistServe,1,1.25,1.523230395559221,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p90,p90,fcfs,DistServe,0,1.5,1.7946341946588027,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p90,p90,fcfs,DistServe,1,1.5,1.794252561279996,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p90,p90,fcfs,DistServe,0,1.75,1.8980708101232135,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p90,p90,fcfs,DistServe,1,1.75,1.81993068576875,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p90,p90,fcfs,DistServe,0,2.0,1.9558633399595104,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p90,p90,fcfs,DistServe,1,2.0,1.829125112769278,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p90,p90,fcfs,DistServe,0,2.25,1.9590155576754889,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p90,p90,fcfs,DistServe,1,2.25,1.8385031635500484,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p90,p90,fcfs,DistServe,0,2.5,1.945962869242898,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p90,p90,fcfs,DistServe,1,2.5,1.8732047697529195,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p90,p90,fcfs,DistServe,0,2.75,1.942483873505677,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p90,p90,fcfs,DistServe,1,2.75,1.8974978888034817,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p90,p90,phase,PhaseServe,0,1.0,0.2627646948909387,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p90,p90,phase,PhaseServe,1,1.0,0.3088984712306409,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p90,p90,phase,PhaseServe,0,1.25,0.7001088995734849,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p90,p90,phase,PhaseServe,1,1.25,0.9732296904549,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p90,p90,phase,PhaseServe,0,1.5,0.9500383520592,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p90,p90,phase,PhaseServe,1,1.5,1.128775039485966,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p90,p90,phase,PhaseServe,0,1.75,1.091992572862655,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p90,p90,phase,PhaseServe,1,1.75,1.311608138921755,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p90,p90,phase,PhaseServe,0,2.0,1.2564962760124,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p90,p90,phase,PhaseServe,1,2.0,1.2342133612309891,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p90,p90,phase,PhaseServe,0,2.25,1.2662951219050833,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p90,p90,phase,PhaseServe,1,2.25,1.413848968307403,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p90,p90,phase,PhaseServe,0,2.5,1.2292906940449029,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p90,p90,phase,PhaseServe,1,2.5,1.386291904341843,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p90,p90,phase,PhaseServe,0,2.75,1.359044054765254,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p90,p90,phase,PhaseServe,1,2.75,1.1653923017748935,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p95,p95,fcfs,DistServe,0,1.0,2.002852738818287,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p95,p95,fcfs,DistServe,1,1.0,2.2866459085629325,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p95,p95,fcfs,DistServe,0,1.25,2.422630524603717,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p95,p95,fcfs,DistServe,1,1.25,2.948121137509592,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p95,p95,fcfs,DistServe,0,1.5,2.533345727678389,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p95,p95,fcfs,DistServe,1,1.5,3.041545797077323,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p95,p95,fcfs,DistServe,0,1.75,2.8292002216167784,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p95,p95,fcfs,DistServe,1,1.75,3.0796394499515536,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p95,p95,fcfs,DistServe,0,2.0,2.947605131808672,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p95,p95,fcfs,DistServe,1,2.0,3.144997343687965,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p95,p95,fcfs,DistServe,0,2.25,2.8514955319277977,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p95,p95,fcfs,DistServe,1,2.25,3.2106982325327915,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p95,p95,fcfs,DistServe,0,2.5,2.792740478068593,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p95,p95,fcfs,DistServe,1,2.5,3.2689854065328854,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p95,p95,fcfs,DistServe,0,2.75,2.799813427925113,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p95,p95,fcfs,DistServe,1,2.75,3.2437017804756776,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p95,p95,phase,PhaseServe,0,1.0,0.3755761424428784,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p95,p95,phase,PhaseServe,1,1.0,0.4802570505067709,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p95,p95,phase,PhaseServe,0,1.25,1.2445605742279442,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p95,p95,phase,PhaseServe,1,1.25,1.430247424851465,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p95,p95,phase,PhaseServe,0,1.5,1.646771571808496,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p95,p95,phase,PhaseServe,1,1.5,1.8706498477711464,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p95,p95,phase,PhaseServe,0,1.75,1.8247051289787397,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p95,p95,phase,PhaseServe,1,1.75,1.866221671036652,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p95,p95,phase,PhaseServe,0,2.0,2.0024627133006505,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p95,p95,phase,PhaseServe,1,2.0,2.068179124593735,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p95,p95,phase,PhaseServe,0,2.25,1.9799171055550688,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p95,p95,phase,PhaseServe,1,2.25,2.3936794156930428,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p95,p95,phase,PhaseServe,0,2.5,1.8865857425192385,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p95,p95,phase,PhaseServe,1,2.5,2.328216955664102,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p95,p95,phase,PhaseServe,0,2.75,1.9375680409371856,s/token,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,tpot,tpot_s_p95,p95,phase,PhaseServe,1,2.75,2.3885425696677247,s/token,1.0,2.75
llama13b_sharegpt,LLaMA2-13B + ShareGPT,ttft,ttft_s_median,p50,fcfs,DistServe,0,1.0,0.1345712039619684,s,1.0,2.25
llama13b_sharegpt,LLaMA2-13B + ShareGPT,ttft,ttft_s_median,p50,fcfs,DistServe,1,1.0,0.1312603252008557,s,1.0,2.25
llama13b_sharegpt,LLaMA2-13B + ShareGPT,ttft,ttft_s_median,p50,fcfs,DistServe,0,1.25,0.1779748164117336,s,1.0,2.25
llama13b_sharegpt,LLaMA2-13B + ShareGPT,ttft,ttft_s_median,p50,fcfs,DistServe,1,1.25,0.9473121035844088,s,1.0,2.25
llama13b_sharegpt,LLaMA2-13B + ShareGPT,ttft,ttft_s_median,p50,fcfs,DistServe,0,1.5,2.266365695744753,s,1.0,2.25
llama13b_sharegpt,LLaMA2-13B + ShareGPT,ttft,ttft_s_median,p50,fcfs,DistServe,1,1.5,3.447830834425986,s,1.0,2.25
llama13b_sharegpt,LLaMA2-13B + ShareGPT,ttft,ttft_s_median,p50,fcfs,DistServe,0,1.75,4.788489315658808,s,1.0,2.25
llama13b_sharegpt,LLaMA2-13B + ShareGPT,ttft,ttft_s_median,p50,fcfs,DistServe,1,1.75,5.353449901565909,s,1.0,2.25
llama13b_sharegpt,LLaMA2-13B + ShareGPT,ttft,ttft_s_median,p50,fcfs,DistServe,0,2.0,6.267332423478365,s,1.0,2.25
llama13b_sharegpt,LLaMA2-13B + ShareGPT,ttft,ttft_s_median,p50,fcfs,DistServe,1,2.0,7.085227806121111,s,1.0,2.25
llama13b_sharegpt,LLaMA2-13B + ShareGPT,ttft,ttft_s_median,p50,fcfs,DistServe,0,2.25,7.402815753594041,s,1.0,2.25
llama13b_sharegpt,LLaMA2-13B + ShareGPT,ttft,ttft_s_median,p50,fcfs,DistServe,1,2.25,8.624193854629993,s,1.0,2.25
llama13b_sharegpt,LLaMA2-13B + ShareGPT,ttft,ttft_s_median,p50,phase,PhaseServe,0,1.0,0.0939714526757597,s,1.0,2.25
llama13b_sharegpt,LLaMA2-13B + ShareGPT,ttft,ttft_s_median,p50,phase,PhaseServe,1,1.0,0.1106103984639048,s,1.0,2.25
llama13b_sharegpt,LLaMA2-13B + ShareGPT,ttft,ttft_s_median,p50,phase,PhaseServe,0,1.25,0.1343654869124293,s,1.0,2.25
llama13b_sharegpt,LLaMA2-13B + ShareGPT,ttft,ttft_s_median,p50,phase,PhaseServe,1,1.25,0.513891413807869,s,1.0,2.25
