goodput_req_s_mean,n,per_gpu_goodput_req_s_mean,policy,rate,slo_attainment_completed_mean,slo_attainment_submitted_mean,slo_label,slo_tpot_s,slo_ttft_s
0.3763669542904378,2,0.1881834771452189,fcfs,10.0,0.53125,0.53125,loose,0.3,2.0
0.42901811248665045,2,0.21450905624332522,phase,10.0,0.5833333333333334,0.5833333333333334,loose,0.3,2.0
0.376696641665364,2,0.188348320832682,fcfs,12.0,0.53125,0.53125,loose,0.3,2.0
0.4560658376849461,2,0.22803291884247304,phase,12.0,0.5833333333333333,0.5833333333333333,loose,0.3,2.0
0.37621959350936496,2,0.18810979675468248,fcfs,16.0,0.53125,0.53125,loose,0.3,2.0
0.4178746098562097,2,0.20893730492810486,phase,16.0,0.53125,0.53125,loose,0.3,2.0
0.4102572683432682,2,0.2051286341716341,fcfs,2.0,0.5833333333333333,0.5833333333333333,loose,0.3,2.0
0.5221970430196079,2,0.26109852150980395,phase,2.0,0.7395833333333333,0.7395833333333333,loose,0.3,2.0
0.34508236689475424,2,0.17254118344737712,fcfs,20.0,0.4895833333333333,0.4895833333333333,loose,0.3,2.0
0.3860622596727379,2,0.19303112983636894,phase,20.0,0.5208333333333333,0.5208333333333333,loose,0.3,2.0
0.37566453445106274,2,0.18783226722553137,fcfs,24.0,0.53125,0.53125,loose,0.3,2.0
0.3930802591661955,2,0.19654012958309774,phase,24.0,0.53125,0.53125,loose,0.3,2.0
0.3766291226839089,2,0.18831456134195446,fcfs,4.0,0.53125,0.53125,loose,0.3,2.0
0.47796711315669227,2,0.23898355657834613,phase,4.0,0.6875,0.6875,loose,0.3,2.0
0.3765704743626231,2,0.18828523718131154,fcfs,6.0,0.53125,0.53125,loose,0.3,2.0
0.48770430253409625,2,0.24385215126704812,phase,6.0,0.6458333333333333,0.6458333333333333,loose,0.3,2.0
0.37592349780340895,2,0.18796174890170447,fcfs,8.0,0.53125,0.53125,loose,0.3,2.0
0.4123893081214489,2,0.20619465406072446,phase,8.0,0.6041666666666667,0.6041666666666667,loose,0.3,2.0
0.30737888502485267,2,0.15368944251242633,fcfs,10.0,0.4375,0.4375,medium,0.2,1.5
0.3857681020057622,2,0.1928840510028811,phase,10.0,0.5208333333333334,0.5208333333333334,medium,0.2,1.5
0.30048616082415114,2,0.15024308041207557,fcfs,12.0,0.42708333333333337,0.42708333333333337,medium,0.2,1.5
0.39048559865145893,2,0.19524279932572947,phase,12.0,0.5,0.5,medium,0.2,1.5
0.3001370300034815,2,0.15006851500174076,fcfs,16.0,0.42708333333333337,0.42708333333333337,medium,0.2,1.5
0.37751294613714226,2,0.18875647306857113,phase,16.0,0.4791666666666667,0.4791666666666667,medium,0.2,1.5
0.34882179958406156,2,0.17441089979203078,fcfs,2.0,0.5,0.5,medium,0.2,1.5
0.49290848768083795,2,0.24645424384041897,phase,2.0,0.6979166666666667,0.6979166666666667,medium,0.2,1.5
0.27867394102640713,2,0.13933697051320357,fcfs,20.0,0.39583333333333337,0.39583333333333337,medium,0.2,1.5
0.3642394994842949,2,0.18211974974214745,phase,20.0,0.4895833333333333,0.4895833333333333,medium,0.2,1.5
0.27845421756583955,2,0.13922710878291977,fcfs,24.0,0.39583333333333337,0.39583333333333337,medium,0.2,1.5
0.3712915785963429,2,0.18564578929817144,phase,24.0,0.5,0.5,medium,0.2,1.5
0.33803394524146385,2,0.16901697262073193,fcfs,4.0,0.47916666666666663,0.47916666666666663,medium,0.2,1.5
0.41158176633729215,2,0.20579088316864608,phase,4.0,0.59375,0.59375,medium,0.2,1.5
0.31483637354340255,2,0.15741818677170127,fcfs,6.0,0.44791666666666663,0.44791666666666663,medium,0.2,1.5
0.4406408590275743,2,0.22032042951378716,phase,6.0,0.5833333333333333,0.5833333333333333,medium,0.2,1.5
0.31419564095938973,2,0.15709782047969487,fcfs,8.0,0.44791666666666663,0.44791666666666663,medium,0.2,1.5
0.34724913442256067,2,0.17362456721128033,phase,8.0,0.5104166666666666,0.5104166666666666,medium,0.2,1.5
0.20533541206079353,2,0.10266770603039677,fcfs,10.0,0.2916666666666667,0.2916666666666667,tight,0.1,1.0
0.2863352480287241,2,0.14316762401436206,phase,10.0,0.38541666666666663,0.38541666666666663,tight,0.1,1.0
0.20548974785817326,2,0.10274487392908663,fcfs,12.0,0.2916666666666667,0.2916666666666667,tight,0.1,1.0
0.30082342376725457,2,0.15041171188362729,phase,12.0,0.3854166666666667,0.3854166666666667,tight,0.1,1.0
0.20524722267839157,2,0.10262361133919579,fcfs,16.0,0.2916666666666667,0.2916666666666667,tight,0.1,1.0
0.3033891800328871,2,0.15169459001644356,phase,16.0,0.38541666666666663,0.38541666666666663,tight,0.1,1.0
0.26212818623040424,2,0.13106409311520212,fcfs,2.0,0.375,0.375,tight,0.1,1.0
0.4037141440894192,2,0.2018570720447096,phase,2.0,0.5729166666666666,0.5729166666666666,tight,0.1,1.0
0.19803645346969317,2,0.09901822673484659,fcfs,20.0,0.28125,0.28125,tight,0.1,1.0
0.29344988799864336,2,0.14672494399932168,phase,20.0,0.3958333333333333,0.3958333333333333,tight,0.1,1.0
0.1978810110199397,2,0.09894050550996986,fcfs,24.0,0.28125,0.28125,tight,0.1,1.0
0.30077265291435296,2,0.15038632645717648,phase,24.0,0.40625,0.40625,tight,0.1,1.0
