global_rate,per_gpu_rate,policy,label,n,slo_attainment_completed_mean,slo_attainment_completed_std,slo_attainment_submitted_mean,slo_attainment_submitted_std,goodput_req_s_mean,goodput_req_s_std,throughput_req_s_mean,throughput_req_s_std,throughput_completed_req_s_mean,throughput_completed_req_s_std,ttft_p50_mean,ttft_p50_std,ttft_p90_mean,ttft_p90_std,ttft_p95_mean,ttft_p95_std,ttft_p99_mean,ttft_p99_std,tpot_p50_mean,tpot_p50_std,tpot_p90_mean,tpot_p90_std,tpot_p95_mean,tpot_p95_std,tpot_p99_mean,tpot_p99_std
1.5,0.75,bps_kas,w/o PBC,2,0.7734375,0.055242717280199,0.7734375,0.055242717280199,0.9757402573983592,0.0551968000037772,1.2622341777351913,0.0187894248963263,1.2622341777351913,0.0187894248963263,0.0775016136467456,0.0012775961018217,0.2011709184385836,0.0192456254124623,0.2284011454787105,0.0084926246802407,0.2653026980999857,0.0220912132087331,0.0368500526792007,0.0023098389450404,0.334162766897186,0.1269515659175315,0.5884771091062718,0.2235025817247286,1.1668811152987186,0.3741032814637208
2.0,1.0,bps_kas,w/o PBC,2,0.45703125,0.0055242717280199,0.45703125,0.0055242717280199,0.581329749517846,0.0481247279185046,1.2726987261726133,0.1206820354402176,1.2726987261726133,0.1206820354402176,0.1176353748887777,0.0192903451943659,3.991922034602611,3.0583926295939854,5.904653486469762,4.578425774085203,8.628491187170148,1.7444714657774272,0.0816183010212838,0.0111399978819423,1.2642662025480107,0.0175991274885334,2.2203783298285495,0.120551034172975,4.043225698021707,1.877022488094736
2.5,1.25,bps_kas,w/o PBC,2,0.2890625,0.055242717280199,0.2890625,0.055242717280199,0.3818779398941699,0.1256802945543104,1.3033463650838009,0.1857034371106972,1.3033463650838009,0.1857034371106972,1.4658104563131928,0.277272668215445,15.920428508054464,1.4296028162110077,17.901681895460936,1.5451640015327637,18.767153925243765,1.6013344776592402,0.091367252131446,0.0130569225187894,1.568228842858225,0.0762200406887732,2.327292933896083,0.0940174813991024,4.589138851063328,0.4434324143346776
3.0,1.5,bps_kas,w/o PBC,2,0.25,0.0441941738241592,0.25,0.0441941738241592,0.3277382256801907,0.0954151728336007,1.2974918550871366,0.1522943690177958,1.2974918550871366,0.1522943690177958,5.0325524979270995,0.1251120314280476,22.72963381698355,1.7269712487835815,27.921906154975296,2.349832576601907,28.824219034230335,1.9697353293972697,0.1016213919646408,0.0017462842946984,1.7173852638102,0.1467052615304662,2.604214275465348,0.0363333076503828,5.129003323566172,1.0445274320610178
3.5,1.75,bps_kas,w/o PBC,2,0.234375,0.0662912607362388,0.234375,0.0662912607362388,0.3156175990803161,0.1248954791111233,1.3242431601622782,0.1583348501445329,1.3242431601622782,0.1583348501445329,7.352577110752463,0.4453491384050369,26.86639149654656,1.6378152095922442,32.520222502388066,3.7342046946944656,33.93843525505625,3.588731709239412,0.1038144312534437,0.0033718506879086,1.8279991088062515,0.1532338076874427,2.5835540281313794,0.1773197978940887,4.8414337393324836,0.9524998107437966
4.0,2.0,bps_kas,w/o PBC,2,0.22265625,0.0718155324642587,0.22265625,0.0718155324642587,0.3019654121195841,0.1284602476756471,1.3324610519804423,0.1471723687962291,1.3324610519804423,0.1471723687962291,9.801880266983062,1.526819503005208,30.79354352075606,0.9958407337844914,36.41594863296486,4.423392990124944,38.030781610039995,4.468038970262605,0.1143083462464974,0.0167515667498398,1.8442048960272217,0.0614719150824868,2.8359842650483684,0.0258990001858579,4.894131561015734,0.9398117217888222
4.5,2.25,bps_kas,w/o PBC,2,0.21875,0.055242717280199,0.21875,0.055242717280199,0.295073726383308,0.1063292474337059,1.32994085763178,0.1502157743367682,1.32994085763178,0.1502157743367682,11.299681573640555,2.7265323591699446,32.45119506502524,4.178037821626987,38.68357044882141,3.473947133391385,40.239204803928736,3.5193613486742197,0.1064279094619708,0.0005732698747973,1.8192535911319827,0.1531946033467048,2.697384381243805,0.2472625172180864,4.961114534089344,0.7728378824812554
5.0,2.5,bps_kas,w/o PBC,2,0.21484375,0.0607669890082189,0.21484375,0.0607669890082189,0.2912289014121453,0.113023235615323,1.3345212225216838,0.148612185158344,1.3345212225216838,0.148612185158344,12.621525880414993,2.5839749443774824,36.56174968145788,0.7996611132659198,38.60677098222077,1.2971727131526851,42.699427063819016,5.97727423907344,0.1173464669731464,0.0254387629468459,1.6886158644428684,0.0017736123813384,2.8269461532697715,0.0119552880395026,5.948276654395281,2.380993102750248
1.5,0.75,bps_pbc,w/o KAS,2,0.73046875,0.0497184455521791,0.73046875,0.0497184455521791,0.9544380402738508,0.0852671054706388,1.3056622022090063,0.0278610280872002,1.3056622022090063,0.0278610280872002,0.076711940113455,0.0007683772195685,0.1991716089658439,0.0207646742239579,0.2254130546934902,0.0019309951381457,0.2658316043484957,0.0192470627912182,0.0350241689877607,0.0027610876559157,0.4255164977163075,0.2098060131386297,0.7382093590305061,0.2866768530772416,1.7804854041161038,1.0166211647118129
2.0,1.0,bps_pbc,w/o KAS,2,0.46875,0.0220970869120796,0.46875,0.0220970869120796,0.6520684192137116,0.0298134297512019,1.3911258766141112,0.0019763192532971,1.3911258766141112,0.0019763192532971,0.1079498585313558,0.009046626103689,3.7687174480408423,4.312945783480541,4.930697932234036,4.078952370372572,7.554881638567895,3.752873992378296,0.0878496231083247,0.0237760520029372,1.2871614285137951,0.0530845795586392,2.2128281139500903,0.261838453250591,5.23098412898835,2.1011799191308413
